library,code,name,Lab_L,Lab_a,Lab_b,C,M,Y,K,R,G,B
CMYK,PANTONE P 10-15 C,,73.33333333333333,9,60,,,,,,,
CMYK,PANTONE P 10-16 C,,70.58823529411765,11,70,,,,,,,
CMYK,PANTONE P 11-1 C,,84.70588235294117,3,23,,,,,,,
CMYK,PANTONE P 11-2 C,,81.96078431372548,3,30,,,,,,,
CMYK,PANTONE P 11-3 C,,78.82352941176471,4,37,,,,,,,
CMYK,PANTONE P 11-4 C,,76.47058823529412,5,43,,,,,,,
CMYK,PANTONE P 11-5 C,,71.37254901960785,8,47,,,,,,,
CMYK,PANTONE P 11-6 C,,67.05882352941175,10,54,,,,,,,
CMYK,PANTONE P 11-7 C,,64.31372549019608,10,62,,,,,,,
CMYK,PANTONE P 11-8 C,,61.568627450980394,12,63,,,,,,,
CMYK,PANTONE P 11-9 C,,82.35294117647058,2,24,,,,,,,
CMYK,PANTONE P 11-10 C,,79.2156862745098,3,30,,,,,,,
CMYK,PANTONE P 11-11 C,,75.68627450980392,4,37,,,,,,,
CMYK,PANTONE P 11-12 C,,72.54901960784314,5,41,,,,,,,
CMYK,PANTONE P 11-13 C,,67.84313725490196,7,46,,,,,,,
CMYK,PANTONE P 11-14 C,,63.52941176470588,9,51,,,,,,,
CMYK,PANTONE P 11-15 C,,60.3921568627451,10,56,,,,,,,
CMYK,PANTONE P 11-16 C,,55.68627450980392,11,57,,,,,,,
CMYK,PANTONE P 12-1 C,,84.31372549019608,2,18,,,,,,,
CMYK,PANTONE P 12-2 C,,80.0,2,25,,,,,,,
CMYK,PANTONE P 12-3 C,,75.29411764705883,3,32,,,,,,,
CMYK,PANTONE P 12-4 C,,71.37254901960785,4,37,,,,,,,
CMYK,PANTONE P 12-5 C,,67.05882352941175,5,45,,,,,,,
CMYK,PANTONE P 12-6 C,,62.745098039215684,6,51,,,,,,,
CMYK,PANTONE P 12-7 C,,57.647058823529406,8,54,,,,,,,
CMYK,PANTONE P 12-8 C,,51.76470588235295,9,53,,,,,,,
CMYK,PANTONE P 12-9 C,,81.96078431372548,2,18,,,,,,,
CMYK,PANTONE P 12-10 C,,76.47058823529412,3,25,,,,,,,
CMYK,PANTONE P 12-11 C,,72.54901960784314,3,33,,,,,,,
CMYK,PANTONE P 12-12 C,,68.23529411764706,4,37,,,,,,,
CMYK,PANTONE P 12-13 C,,62.745098039215684,5,43,,,,,,,
CMYK,PANTONE P 12-14 C,,57.25490196078431,6,48,,,,,,,
CMYK,PANTONE P 12-15 C,,51.76470588235295,7,49,,,,,,,
CMYK,PANTONE P 12-16 C,,44.70588235294118,7,45,,,,,,,
CMYK,PANTONE P 13-1 C,,85.49019607843137,1,9,,,,,,,
CMYK,PANTONE P 13-2 C,,81.56862745098039,2,14,,,,,,,
CMYK,PANTONE P 13-3 C,,77.64705882352942,3,16,,,,,,,
CMYK,PANTONE P 13-4 C,,74.11764705882354,3,17,,,,,,,
CMYK,PANTONE P 13-5 C,,69.80392156862744,4,20,,,,,,,
CMYK,PANTONE P 13-6 C,,66.27450980392156,5,21,,,,,,,
CMYK,PANTONE P 13-7 C,,62.745098039215684,6,22,,,,,,,
CMYK,PANTONE P 13-8 C,,60.0,8,24,,,,,,,
CMYK,PANTONE P 13-9 C,,57.25490196078431,7,21,,,,,,,
CMYK,PANTONE P 13-10 C,,54.509803921568626,6,20,,,,,,,
CMYK,PANTONE P 13-11 C,,51.37254901960784,6,18,,,,,,,
CMYK,PANTONE P 13-12 C,,49.01960784313725,5,17,,,,,,,
CMYK,PANTONE P 13-13 C,,45.88235294117647,5,16,,,,,,,
CMYK,PANTONE P 13-14 C,,42.35294117647059,4,15,,,,,,,
CMYK,PANTONE P 13-15 C,,38.43137254901961,3,14,,,,,,,
CMYK,PANTONE P 13-16 C,,34.90196078431372,3,13,,,,,,,
CMYK,PANTONE P 14-1 C,,92.15686274509804,2,13,,,,,,,
CMYK,PANTONE P 14-2 C,,89.80392156862746,4,22,,,,,,,
CMYK,PANTONE P 14-3 C,,88.23529411764706,5,28,,,,,,,
CMYK,PANTONE P 14-4 C,,85.49019607843137,7,37,,,,,,,
CMYK,PANTONE P 14-5 C,,82.74509803921568,10,45,,,,,,,
CMYK,PANTONE P 14-6 C,,80.7843137254902,12,53,,,,,,,
CMYK,PANTONE P 14-7 C,,76.86274509803923,16,67,,,,,,,
CMYK,PANTONE P 14-8 C,,73.72549019607844,20,76,,,,,,,
CMYK,PANTONE P 14-9 C,,87.45098039215686,4,20,,,,,,,
CMYK,PANTONE P 14-10 C,,85.09803921568627,4,26,,,,,,,
CMYK,PANTONE P 14-11 C,,82.35294117647058,6,31,,,,,,,
CMYK,PANTONE P 14-12 C,,79.6078431372549,7,37,,,,,,,
CMYK,PANTONE P 14-13 C,,76.47058823529412,9,43,,,,,,,
CMYK,PANTONE P 14-14 C,,74.11764705882354,11,51,,,,,,,
CMYK,PANTONE P 14-15 C,,70.19607843137254,14,61,,,,,,,
CMYK,PANTONE P 14-16 C,,66.66666666666666,17,67,,,,,,,
CMYK,PANTONE P 15-1 C,,89.01960784313725,2,15,,,,,,,
CMYK,PANTONE P 15-2 C,,85.09803921568627,3,23,,,,,,,
CMYK,PANTONE P 15-3 C,,82.35294117647058,4,29,,,,,,,
CMYK,PANTONE P 15-4 C,,78.03921568627452,6,34,,,,,,,
CMYK,PANTONE P 15-5 C,,73.72549019607844,8,38,,,,,,,
CMYK,PANTONE P 15-6 C,,70.19607843137254,10,46,,,,,,,
CMYK,PANTONE P 15-7 C,,65.09803921568627,12,54,,,,,,,
CMYK,PANTONE P 15-8 C,,61.1764705882353,15,60,,,,,,,
CMYK,PANTONE P 15-9 C,,81.96078431372548,4,22,,,,,,,
CMYK,PANTONE P 15-10 C,,78.82352941176471,5,28,,,,,,,
CMYK,PANTONE P 15-11 C,,75.29411764705883,6,33,,,,,,,
